date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:58	15118/15118	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:13:54%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/2-2-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/2-2-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:59	250106/250106	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf0-3d0fa%22	http://htmldemo.net/mirora/mirora/index-2.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/index-2.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:00	222680/222680	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf0-365d8%22	http://htmldemo.net/mirora/mirora/index-3.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/index-3.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:00	171943/171943	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf0-29fa7%22	http://htmldemo.net/mirora/mirora/index-4.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/index-4.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:00	129677/129677	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bfc-1fa8d%22	http://htmldemo.net/mirora/mirora/shop.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/shop.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:00	129669/129669	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9c00-1fa85%22	http://htmldemo.net/mirora/mirora/shop-right-sidebar.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/shop-right-sidebar.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:01	119075/119075	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf8-1d123%22	http://htmldemo.net/mirora/mirora/shop-fullwidth.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/shop-fullwidth.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:02	119084/119084	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf9-1d12c%22	http://htmldemo.net/mirora/mirora/shop-fullwidth-4-column.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/shop-fullwidth-4-column.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:02	129709/129709	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9c03-1faad%22	http://htmldemo.net/mirora/mirora/shop-list-left-sidebar.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/shop-list-left-sidebar.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:02	129689/129689	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9c04-1fa99%22	http://htmldemo.net/mirora/mirora/shop-list-right-sidebar.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/shop-list-right-sidebar.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:03	119062/119062	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bfa-1d116%22	http://htmldemo.net/mirora/mirora/shop-list.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/shop-list.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:04	99294/99294	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9c00-183de%22	http://htmldemo.net/mirora/mirora/product-details-variable.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-variable.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:04	100357/100357	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf6-18805%22	http://htmldemo.net/mirora/mirora/product-details-group.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-group.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:05	97430/97430	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf5-17c96%22	http://htmldemo.net/mirora/mirora/product-details-affiliate.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-affiliate.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:06	97908/97908	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bfa-17e74%22	http://htmldemo.net/mirora/mirora/product-details-tab-style-2.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-tab-style-2.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:07	97885/97885	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bfd-17e5d%22	http://htmldemo.net/mirora/mirora/product-details-tab-style-3.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-tab-style-3.html	(from http://htmldemo.net/mirora/mirora/index.html)
